alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,class
1724,392,1171,528,1268,1285,1175,579,1214,762,932,1987,1149,0
1169,421,854,63,668,1179,1045,502,562,541,949,1597,1127,0
1147,655,1434,844,690,1285,1252,657,1550,768,915,1425,1324,0
1799,490,1248,654,957,2026,1360,425,1143,1139,632,1635,1755,0
1190,748,1653,1097,1068,1285,1015,1004,910,531,932,1245,667,0
1708,413,1193,485,934,1616,1317,811,1007,955,949,1185,1711,0
1810,457,1193,422,578,1073,941,657,1014,693,899,1732,1478,0
1632,570,1368,739,1135,1143,937,695,542,658,965,1732,1485,0
2047,364,887,359,601,1285,1140,618,1014,685,999,1185,1120,0
1524,247,996,570,623,1412,1214,348,930,1037,882,1710,1120,0
1654,574,1029,781,779,1391,1287,348,1272,781,1281,1425,1799,0
1665,299,1051,654,556,861,903,502,749,650,1148,1162,1463,0
1465,400,1149,570,423,1143,1045,618,904,755,1115,1222,1521,0
2004,400,1127,84,467,1496,1447,1159,1550,720,1281,1095,1273,0
1805,457,1117,148,712,1638,1425,618,1647,1086,1198,1297,1853,0
1401,433,1467,696,934,1320,1110,657,678,1051,1331,1207,1507,0
1761,477,1489,992,1112,1285,1209,772,1007,859,982,1035,1463,0
1508,336,1379,992,1001,1391,1321,1043,846,929,1082,975,1244,0
1702,344,1226,623,846,1638,1550,734,936,1296,1248,1162,2047,0
1406,955,1314,485,1024,1214,1162,154,807,667,799,1567,828,0
1632,360,1007,570,1246,1426,1222,425,1091,763,1015,1830,733,0
1024,1238,1412,844,712,1009,894,463,1014,562,915,1687,718,0
1444,453,1095,633,690,1151,1097,541,827,440,1048,2047,1105,0
980,348,1270,760,556,1059,877,502,678,463,1015,1770,1076,0
1331,433,1368,992,578,1094,980,579,807,391,1065,1912,828,0
1088,530,2036,1519,1202,1165,1011,1313,975,402,1082,1447,806,0
1271,417,1379,580,512,1320,1123,811,672,615,732,1462,1339,0
1223,396,854,675,534,1002,799,541,607,466,899,1125,1470,0
1530,469,1576,929,823,1391,1136,927,872,562,1281,1597,930,0
1611,380,930,570,578,1179,859,502,1014,597,932,1740,1105,0
1454,307,1467,1256,690,1426,1257,618,1272,772,1182,1080,1470,0
1374,372,1095,897,801,1327,1231,348,994,982,1015,1207,1806,0
1428,441,1095,696,756,1016,1015,1120,1007,447,1248,1200,1040,0
1471,320,1467,939,1380,1391,1036,1429,607,720,1281,1297,1397,0
1336,429,1412,886,890,967,946,618,730,510,1032,1200,1193,0
1320,433,1149,1045,668,1214,1140,502,936,667,932,1650,937,0
1212,364,1620,517,890,1143,1011,811,613,580,1015,1132,879,0
1088,368,1303,781,623,1038,903,618,665,519,1065,930,1207,0
1099,307,810,517,623,1002,993,579,620,423,1165,1065,1083,0
1718,1315,1259,274,1290,1426,1166,270,1078,667,682,1695,704,0
1363,392,1040,591,1046,1532,1274,811,1246,847,782,1582,755,0
1282,1254,832,865,445,1038,1011,541,691,524,716,1297,1105,0
1535,465,1346,464,690,1602,1391,154,833,725,666,1717,1193,0
1190,1311,1018,728,734,1172,989,734,807,538,566,1297,587,0
1088,417,810,675,823,1426,1149,579,1046,657,666,1560,886,0
1713,1335,1182,876,912,1320,998,657,542,692,649,1545,1171,0
1805,1153,1007,570,712,1602,1222,541,1149,632,932,1627,1149,0
1546,380,832,570,690,1496,1317,309,1117,842,716,1545,1032,0
1654,518,1138,865,734,1249,1114,734,1272,859,982,1110,1142,0
1568,400,996,718,846,1341,1382,734,1078,1331,1065,1372,1434,0
